,Name,Kingdom,Phylum,Subphylum,Class,Order,Suborder,Family,Genus,Species,Population size,Life span,Top speed,Weight,Height,Length,Introduced countries,Seas,Islands,Biome,Climate,Seasonal behavior,Predators,Bird's call,Mating behavior,Reproduction season,Pregnancy duration,Baby carrying,Independent age,Female name,Male name,Baby name,Incubation period,Population trend,Population status
1474,Lesser mouse-tailed bat,Animalia,Chordata,Vertebrata,Mammalia,Chiroptera,,Rhinopomatidae,Rhinopoma,Rhinopoma hardwickii,,,,10-12 g,,119-141 mm,,,"Burkina Faso, Cameroon, Chad, Djibouti, Eritrea, Ethiopia, Kenya, Mali, Mauritania, Niger, Nigeria, Somalia, Sudan,  Yemen, Afghanistan, Iran, Iraq, Israel, Jordan, Kuwait, Oman, Pakistan, Saudi Arabia, Syria","['Agricultural', 'Anthropogenic biome', 'Caves', 'Grassland', 'Rocky areas ', 'Shrubland']",['Tropical'],,,,,,95 to 100 days,1,,,,,,Stable,Least concern (LC)
1475,Bailey's pocket mouse,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Heteromyidae,Chaetodipus,Chaetodipus baileyi,,,,24-38 g,,176-240 mm,,,,[],[],,,,,,,,,,,,,Stable,Least concern (LC)
1476,Washington ground squirrel,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Sciuridae,Urocitellus,Urocitellus washingtoni,,,,120-300 g,,185-245 mm,,,,"['Chaparral', 'Grassland', 'Shrubland']",['Temperate'],"Aestivation, Hibernating, Not a migrant",,,"Polygyny,",,,5 to 11,,,,,,Decreasing,Near Threatened (NT)
1477,Madagascar sucker-footed bat,Animalia,Chordata,Vertebrata,Mammalia,Chiroptera,,Myzopodidae,Myzopoda,Myzopoda aurita,,,,8-10 g,,105-125 mm,,,,"['Forest', 'Rainforest', 'Shrubland', 'Anthropogenic biome', 'Caves', 'Wetlands ']",['Tropical'],,,,,,,,,,,,,Unknown,Least concern (LC)
1478,Green ringtail possum,Animalia,Chordata,Vertebrata,Mammalia,Diprotodontia,,Pseudocheiridae,Pseudochirops,Pseudochirops archeri,,,,670-1350 g,,285-377 mm,,,,"['Forest', 'Rainforest']",['Tropical'],Not a migrant,,,,,,,,,,,,Decreasing,Near Threatened (NT)
1479,Small five-toed jerboa,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Dipodidae,Allactaga,Allactaga elater,,,,58.7 g,,,,,,['Shrubland'],[],,,,,,,,,,,,,Decreasing,Least concern (LC)
1480,Agile gracile opossum,Animalia,Chordata,Vertebrata,Mammalia,Didelphimorphia,,Didelphidae,Gracilinanus,Gracilinanus agilis,,,,13-21 g,,123.4 mm,,,,"['Forest', 'Rainforest', 'Shrubland']",['Tropical'],,,,"Polygyny,",,,12,,,,,,Unknown,Least concern (LC)
1481,Bioko Allen's bushbaby,Animalia,Chordata,Vertebrata,Mammalia,Primates,,Galagidae,Sciurocheirus,Sciurocheirus alleni,,,,200-445 g,,155-240 mm,,,Bioko,"['Forest', 'Rainforest']",['Tropical'],,,,"Polygyny,",,133 days,1,,,,,,Decreasing,Near Threatened (NT)
1482,Western heather vole,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Cricetidae,Phenacomys,Phenacomys intermedius,,,,30-50 g,,,,,,"['Forest', 'Mountains', 'Grassland', 'Shrubland']",[],,,,,,22 days,4.58,,,,,,Stable,Least concern (LC)
1483,Little free-tailed bat,Animalia,Chordata,Vertebrata,Mammalia,Chiroptera,,Molossidae,Chaerephon,Chaerephon pumilus,,,,11.1 g,,252 mm,,,,"['Forest', 'Riparian', 'Grassland', 'Anthropogenic biome', 'Savanna', 'Shrubland']","['Temperate', 'Tropical']",Not a migrant,,,"Polygyny,",,60 to 72 days,1 to 2,,,,,,Unknown,Least concern (LC)
1484,Little collared fruit bat,Animalia,Chordata,Vertebrata,Mammalia,Chiroptera,,Pteropodidae,Myonycteris,Myonycteris torquata,,,,28-40 g,,102-112 mm,,,Bioko,"['Agricultural', 'Anthropogenic biome', 'Forest', 'Rainforest', 'Grassland', 'Suburban', 'Urban wildlife']",['Tropical'],,,,"Polygynandry,",,4 to 6 months,1,,,,,,Stable,Least concern (LC)
1485,Montane shrew,Animalia,Chordata,Vertebrata,Mammalia,Eulipotyphla,,Soricidae,Sorex,Sorex monticolus,,,,5.9-7.2 g,,,,,,"['Forest', 'Mountains', 'Grassland', 'Wetlands ']",[],,,,,,,,,,,,,Stable,Least concern (LC)
1486,Guayaquil squirrel,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Sciuridae,Sciurus,Sciurus stramineus,,,,460-495 g,,430-650 mm,,,,"['Agricultural', 'Anthropogenic biome', 'Forest', 'Mountains', 'Suburban', 'Urban wildlife']","['Temperate', 'Tropical']",,,,"Polygynandry,",,44 to 45 days,1 to 8,3 to 4 months,,,,,Unknown,Least concern (LC)
1487,Black-headed night monkey,Animalia,Chordata,Vertebrata,Mammalia,Primates,Haplorhini,Aotidae,Aotus,Aotus nigriceps,,,,750 g,,,,,,"['Forest', 'Rainforest']",['Tropical'],Not a migrant,,,Monogamy,,4 months,1 to 2,18 weeks,,,,,Unknown,Least concern (LC)
1488,Mole-like rice tenrec,Animalia,Chordata,Vertebrata,Mammalia,Afrosoricida,,Tenrecidae,Oryzorictes,Oryzorictes hova,,,,28-40 g,,99-124 mm,,,,"['Agricultural', 'Anthropogenic biome', 'Forest', 'Marsh', 'Wetlands ']",['Tropical'],,,,,,,,,,,,,Decreasing,Least concern (LC)
1489,Black-bearded tomb bat,Animalia,Chordata,Vertebrata,Mammalia,Chiroptera,,Emballonuridae,Taphozous,Taphozous melanopogon,,,,10-50 g,,70-80 mm,,,"Sri Lanka, Thailand, Timor-Leste, Viet Nam","['Forest', 'Rainforest', 'Shrubland', 'Anthropogenic biome', 'Suburban', 'Urban wildlife', 'Caves']","['Temperate', 'Tropical']",Not a migrant,,,,,3 to 4 months,1 to 1,,,,,,Stable,Least concern (LC)
1490,Golden-backed uakari,Animalia,Chordata,Vertebrata,Mammalia,Primates,Haplorhini,Pitheciidae,Cacajao,Cacajao melanocephalus,,,,2.5-3.7 kg,,365-485 mm,,,,"['Forest', 'Rainforest', 'Riparian', 'Swamp', 'Wetlands ']",['Tropical'],Not a migrant,,,,,,,,,,,,Stable,Least concern (LC)
1491,Sumatran porcupine,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Hystricidae,Hystrix,Hystrix sumatrae,,,,3.8 -4.6 kg,,45-56 cm,,,,"['Agricultural', 'Anthropogenic biome', 'Forest', 'Rainforest', 'Shrubland']",['Tropical'],,,,,,,,,,,,,Stable,Least concern (LC)
1492,Bushveld elephant shrew,Animalia,Chordata,Vertebrata,Mammalia,Macroscelidea,,Macroscelididae,Elephantulus,Elephantulus intufi,,,,35-74 g,,204-276 mm,,,,"['Forest', 'Grassland', 'Shrubland', 'Savanna']",['Temperate'],Not a migrant,,,Monogamy,,50 to 52 days,1 to 2,,,,,,Unknown,Least concern (LC)
1493,Collared titi,Animalia,Chordata,Vertebrata,Mammalia,Primates,Haplorhini,Pitheciidae,Cheracebus,Cheracebus torquatus,,,,1100-1500 g,,230-360 mm,,,,"['Forest', 'Rainforest', 'Riparian']",['Tropical'],,,,Monogamy,,,1 to 1,,,,,,Unknown,Least concern (LC)
1494,Fresno kangaroo rat,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Heteromyidae,Dipodomys,Dipodomys nitratoides,,,,39-44 g,,,,,,"['Chaparral', 'Grassland', 'Shrubland']",[],,,,,,34 days,2.3,,,,,,Decreasing,Vulnerable (VU)
1495,Beach vole,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Cricetidae,Microtus,Microtus breweri,,,,29-79 g,,165-215 mm,,,,"['Grassland', 'Coastal']",['Temperate'],,,,"Polygynandry,",,21 days,2.3 to 4.5,,,,,,Stable,Vulnerable (VU)
1496,Giant bushy-tailed cloud rat,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Muridae,Crateromys,Crateromys schadenbergi,,,,,,325-394 mm,,,,"['Forest', 'Mountains']",['Tropical'],,,,,,,,,,,,,Decreasing,Endangered (EN)
1497,Southeastern four-eyed opossum,Animalia,Chordata,Vertebrata,Mammalia,Didelphimorphia,,Didelphidae,Philander,Philander frenatus,,,,120-230 g,,210-285 mm,,,,"['Forest', 'Rainforest']",['Tropical'],,,,,,13 to 14 days,1 to 7,,,,,,Unknown,Least concern (LC)
1498,Julia Creek Dunnart,Animalia,Chordata,Vertebrata,Mammalia,Dasyuromorphia,,Dasyuridae,Sminthopsis,Sminthopsis douglasi,Unknown,2-3 yrs,,40-70 g,,160-240 mm,,,,"['Grassland', 'Savanna', 'Shrubland']",['Arid'],,,,,spring-summer,13 days,8 joeys,,,,joey,,Decreasing,Near Threatened (NT)
1499,Peters's dwarf epauletted fruit bat,Animalia,Chordata,Vertebrata,Mammalia,Chiroptera,,Pteropodidae,Micropteropus,Micropteropus pusillus,,,,24-34 g,,67-105 mm,,,,"['Forest', 'Grassland', 'Swamp', 'Wetlands ', 'Anthropogenic biome', 'Savanna', 'Shrubland']",['Tropical'],,,,,,5 to 6 months,,9 months,,,,,Stable,Least concern (LC)
1500,Hottentot golden mole,Animalia,Chordata,Vertebrata,Mammalia,Afrosoricida,,Chrysochloridae,Amblysomus,Amblysomus hottentotus,,,,40-101 g,,115-145 mm,,,,"['Forest', 'Mountains', 'Grassland', 'Anthropogenic biome', 'Savanna', 'Shrubland']","['Temperate', 'Tropical']",,,,,,,,,,,,,Unknown,Least concern (LC)
1501,Southern yellow bat,Animalia,Chordata,Vertebrata,Mammalia,Chiroptera,,Vespertilionidae,Lasiurus,Lasiurus ega,,,,10-18 g,,,,,,"['Forest', 'Rainforest', 'Shrubland', 'Anthropogenic biome']",[],,,,,,90 to 105 days,2 to 4,,,,,,Unknown,Least concern (LC)
1502,Five-toed pygmy jerboa,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Dipodidae,Cardiocranius,Cardiocranius paradoxus,,,,,,50-75 mm,,,,[],['Temperate'],,,,,,,,,,,,,Unknown,Data deficient (DD)
1503,Plains pocket mouse,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Heteromyidae,Perognathus,Perognathus flavescens,,,,7-16 g,,110-155 mm,,,,"['Grassland', 'Anthropogenic biome', 'Shrubland']",['Temperate'],,,,,,25 to 26 days,2 to 7,,,,,,Stable,Least concern (LC)
1504,Dusky caenolestid,Animalia,Chordata,Vertebrata,Mammalia,Paucituberculata,,Caenolestidae,Caenolestes,Caenolestes fuliginosus,,,,34-39 g,,229-237 mm,,,,"['Forest', 'Mountains', 'Rainforest']",['Tropical'],,,,,,,,,,,,,Unknown,Least concern (LC)
1505,Cheesman's gerbil,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Muridae,Gerbillus,Gerbillus cheesmani,,,,10-63 g,,119-310 mm,,,,['Shrubland'],['Temperate'],Not a migrant,,,,,20 to 22 days,1 to 8,,,,,,Stable,Least concern (LC)
1506,Buffy flower bat,Animalia,Chordata,Vertebrata,Mammalia,Chiroptera,,Phyllostomidae,Erophylla,Erophylla sezekorni,,,,16-18 g,,65-75 mm,,,,"['Caves', 'Forest']",['Tropical'],,,,"Polygyny,",,3 to 5 months,1,,,,,,Unknown,Least concern (LC)
1507,White-striped free-tailed bat,Animalia,Chordata,Vertebrata,Mammalia,Chiroptera,,Molossidae,Austronomus,Austronomus australis,,,,25-40 g,,85-100 mm,,,,"['Agricultural', 'Anthropogenic biome', 'Forest', 'Rainforest', 'Shrubland', 'Suburban', 'Urban wildlife', 'Grassland', 'Savanna']","['Temperate', 'Tropical']",,,,,,4 to 6 months,1 to 1,,,,,,Decreasing,Least concern (LC)
1508,Superagüi lion tamarin,Animalia,Chordata,Vertebrata,Mammalia,Primates,,Callitrichidae,Leontopithecus,Leontopithecus caissara,,,,600 g,,30.5 cm,,,,"['Forest', 'Rainforest']",['Tropical'],,,,Monogamy,,,2,,,,,,Decreasing,Critically endangered (CR)
1509,Amazonian red-sided opossum,Animalia,Chordata,Vertebrata,Mammalia,Didelphimorphia,,Didelphidae,Monodelphis,Monodelphis glirina,,,,24.4-79.6 g,,151.5-213.3 mm,,,,"['Forest', 'Rainforest']",['Tropical'],,,,,,15 days,16,,,,,,Unknown,Least concern (LC)
1510,Long-eared flying mouse,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Anomaluridae,Idiurus,Idiurus macrotis,,,,25-35 g,,208-220 mm,,,,"['Forest', 'Rainforest']",['Tropical'],,,,,,,,,,,,,Unknown,Least concern (LC)
1511,Hispid pocket mouse,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Heteromyidae,Chaetodipus,Chaetodipus hispidus,,,,30-47 g,,,,,,"['Grassland', 'Shrubland']",[],,,,,,,,,,,,,Stable,Least concern (LC)
1512,Silky pocket mouse,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Heteromyidae,Perognathus,Perognathus flavus,,,,6-9 g,,,,,,"['Chaparral', 'Grassland', 'Shrubland']",[],,,,,,26 days,4,,,,,,Stable,Least concern (LC)
1513,Little golden-mantled flying fox,Animalia,Chordata,Vertebrata,Mammalia,Chiroptera,,Pteropodidae,Pteropus,Pteropus pumilus,,,,145-200 g,,,,,,"['Agricultural', 'Anthropogenic biome', 'Forest', 'Rainforest', 'Shrubland']",['Tropical'],,,,"Polygyny,",,,1 to 2,11 to 12 weeks,,,,,Decreasing,Near Threatened (NT)
1514,Lesser cane rat,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Thryonomyidae,Thryonomys,Thryonomys gregorianus,,,,2.65-7.50 kg,,380 mm,,,,"['Grassland', 'Shrubland', 'Wetlands ']",['Tropical'],,,,"Polygyny,",,3 months,2 to 3,,,,,,Unknown,Least concern (LC)
1515,Chisel-toothed kangaroo rat,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Heteromyidae,Dipodomys,Dipodomys microps,,,,55 g,,270 mm,,,,"['Rocky areas ', 'Shrubland']",['Temperate'],,,,"Polygynandry,",,30 to 34 days,2.4,,,,,,Stable,Least concern (LC)
1516,Long-nosed caenolestid,Animalia,Chordata,Vertebrata,Mammalia,Paucituberculata,,Caenolestidae,Rhyncholestes,Rhyncholestes raphanurus,,,,,,10-13 cm,,,,"['Forest', 'Rainforest']",['Temperate'],,,,,,,,,,,,,Decreasing,Near Threatened (NT)
1517,Texas antelope squirrel,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Sciuridae,Ammospermophilus,Ammospermophilus interpres,,,,84-121 g,,226 mm,,,,"['Grassland', 'Shrubland']",['Temperate'],,,,,,29 days,5 to 14,,,,,,Unknown,Least concern (LC)
1518,Spix's disk-winged bat,Animalia,Chordata,Vertebrata,Mammalia,Chiroptera,,Thyropteridae,Thyroptera,Thyroptera tricolor,,,,4-5 g,,27-38 mm,,,,"['Forest', 'Rainforest', 'Savanna']",['Tropical'],,,,"Polygyny,",,,1 to 1,,,,,,Unknown,Least concern (LC)
1519,Southern long-nosed bat,Animalia,Chordata,Vertebrata,Mammalia,Chiroptera,,Phyllostomidae,Leptonycteris,Leptonycteris curasoae,,,,18-30 g,,7.62 cm,,,,"['Caves', 'Forest', 'Shrubland']",['Tropical'],,,,Monogamy,,6 months,1,,,,,,Decreasing,Vulnerable (VU)
1520,Lesser bulldog bat,Animalia,Chordata,Vertebrata,Mammalia,Chiroptera,,Noctilionidae,Noctilio,Noctilio albiventris,,,,18-44 g,,57-85 mm,,,,"['Anthropogenic biome', 'Forest', 'Savanna']",['Tropical'],,,,,,4 to 5 weeks,1,,,,,,Stable,Least concern (LC)
1521,Short-tailed shrew tenrec,Animalia,Chordata,Vertebrata,Mammalia,Afrosoricida,,Tenrecidae,Microgale,Microgale brevicaudata,,,,7-12 g,,6.6-7 cm,,,,"['Agricultural', 'Anthropogenic biome', 'Forest', 'Marsh', 'Wetlands ', 'Grassland', 'Shrubland']",['Temperate'],,,,"Polygynandry,",,,1 to 8,,,,,,Decreasing,Least concern (LC)
1522,Masoala fork-marked lemur,Animalia,Chordata,Vertebrata,Mammalia,Primates,Strepsirrhini,Cheirogaleidae,Phaner,Phaner furcifer,,,,300-500 g,,227-285 mm,,,,"['Forest', 'Rainforest']",['Tropical'],Not a migrant,,,Monogamy,,,1,,,,,,Decreasing,Endangered (EN)
1523,Tundra shrew,Animalia,Chordata,Vertebrata,Mammalia,Eulipotyphla,,Soricidae,Sorex,Sorex tundrensis,,,,3.8-10 g,,83-120 mm,,,,"['Bog', 'Wetlands ', 'Forest', 'Grassland']",['Temperate'],,,,,,13 to 28 days,8 to 12,,,,,,Stable,Least concern (LC)
1524,Pacific shrew,Animalia,Chordata,Vertebrata,Mammalia,Eulipotyphla,,Soricidae,Sorex,Sorex pacificus,,1.5 years,,10-18 g,,135-160 mm,,,,"['Forest', 'Mountains']",[],,,,"Polygynandry,",,16 to 28 days,2 to 6,3 weeks,,,,,Stable,Least concern (LC)
1525,Euphrates jerboa,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Dipodidae,Allactaga,Allactaga euphratica,,,,35.9 g,,230-310 mm,,,,"['Agricultural', 'Anthropogenic biome', 'Grassland', 'Shrubland']",['Temperate'],,,,,,,,,,,,,Decreasing,Least concern (LC)
1526,Antillean fruit-eating bat,Animalia,Chordata,Vertebrata,Mammalia,Chiroptera,,Phyllostomidae,Brachyphylla,Brachyphylla cavernarum,,,,45 g,,,,,,"['Forest', 'Rainforest', 'Shrubland', 'Anthropogenic biome', 'Caves']",[],,,,,,,,,,,,,Unknown,Least concern (LC)
1527,Great fruit-eating bat,Animalia,Chordata,Vertebrata,Mammalia,Chiroptera,,Phyllostomidae,Artibeus,Artibeus lituratus,,,,65.9 g,,,,,,"['Caves', 'Forest', 'Anthropogenic biome', 'Urban wildlife']",['Tropical'],,,,"Polygyny,",,,1 to 2,,,,,,Stable,Least concern (LC)
1528,Graells's tamarin,Black-mantled tamarin,,Animalia,Chordata,Vertebrata,,Mammalia,Primates,Callitrichidae,,,,Leontocebus,,Leontocebus nigricollis graellsi,,,,"['Forest', 'Rainforest', 'Riparian']",['Tropical'],,,,"Cooperative breeder,",,130 to 170 days,2 to 2,10 months,,,,,,
1529,Acacia rat,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Muridae,Thallomys,Thallomys paedulcus,,,,63-100 g,,12-16.3 cm,,,,"['Grassland', 'Shrubland']","['Temperate', 'Tropical']",,,,"Polygynandry,",,,2 to 5,,,,,,Unknown,Least concern (LC)
1530,Egyptian slit-faced bat,Animalia,Chordata,Vertebrata,Mammalia,Chiroptera,,Nycteridae,Nycteris,Nycteris thebaica,,,,6.5-16 g,,83-168 mm,,,,"['Caves', 'Forest', 'Rainforest', 'Grassland', 'Savanna', 'Shrubland']","['Temperate', 'Tropical']","Migrating,",,,,,2.5 to 6 months,1,,,,,,Unknown,Least concern (LC)
1531,White-nosed saki,Animalia,Chordata,Vertebrata,Mammalia,Primates,Haplorhini,Pitheciidae,Chiropotes,Chiropotes albinasus,,,,2-3 kg,,,,,,"['Forest', 'Rainforest']",[],,,,,,5 months,1,3 months,,,,,Decreasing,Vulnerable (VU)
1532,Nubra pika,Animalia,Chordata,Vertebrata,Mammalia,Lagomorpha,,Ochotonidae,Ochotona,Ochotona nubrica,,,,96-135 g,,140-184 mm,,,,"['Forest', 'Mountains', 'Shrubland', 'Grassland']",[],,,,,,,,,,,,,Unknown,Least concern (LC)
1533,Gray-bellied caenolestid,Animalia,Chordata,Vertebrata,Mammalia,Paucituberculata,,Caenolestidae,Caenolestes,Caenolestes caniventer,,,,40 g,,256 (including the tail) mm,,,,"['Forest', 'Mountains']",['Tropical'],,,,,,,,,,,,,Decreasing,Near Threatened (NT)
1534,Rough-haired golden mole,Animalia,Chordata,Vertebrata,Mammalia,Afrosoricida,,Chrysochloridae,Chrysospalax,Chrysospalax villosus,,,,93-160 g,,127-175 mm,,,,"['Agricultural', 'Anthropogenic biome', 'Grassland', 'Suburban', 'Urban wildlife', 'Shrubland']",['Temperate'],,,,,,,,,,,,,Unknown,Vulnerable (VU)
1535,Red acouchi,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Dasyproctidae,Myoprocta,Myoprocta acouchy,,,,1.000-4.000 kg,,386-468 mm,,,,"['Forest', 'Rainforest', 'Riparian']",['Tropical'],Not a migrant,,,,,94 to 115 days,1.000 to 2,,,,,,Unknown,Least concern (LC)
1536,Taiga vole,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Cricetidae,Microtus,Microtus xanthognathus,,1.5 years,,140-160 g,,186-226 mm,,,,"['Forest', 'Wetlands ']",[],,,,"Polygyny,",,,6 to 13,,,,,,Stable,Least concern (LC)
1537,Southeastern shrew,Animalia,Chordata,Vertebrata,Mammalia,Eulipotyphla,,Soricidae,Sorex,Sorex longirostris,,,,2-6 g,,68-110 mm,,,,"['Agricultural', 'Anthropogenic biome', 'Bog', 'Wetlands ', 'Forest', 'Marsh', 'Mountains', 'Grassland', 'Swamp', 'Shrubland']",[],,,,"Polygynandry,",,18 days,2 to 6,,,,,,Stable,Least concern (LC)
1538,Heermann's kangaroo rat,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Heteromyidae,Dipodomys,Dipodomys heermanni,,,,60-90 g,,,,,,"['Chaparral', 'Grassland', 'Forest', 'Savanna', 'Shrubland']",[],,,,,,31 days,3.1,,,,,,Unknown,Least concern (LC)
1539,Juliana's golden mole,Animalia,Chordata,Vertebrata,Mammalia,Afrosoricida,,Chrysochloridae,Neamblysomus,Neamblysomus julianae,,,,21-46 g,,100 mm,,,,"['Grassland', 'Anthropogenic biome', 'Savanna']",['Temperate'],,,,"Polygynandry,",,,1 to 2,,,,,,Unknown,Endangered (EN)
1540,Woodlark cuscus,Animalia,Chordata,Vertebrata,Mammalia,Diprotodontia,,Phalangeridae,Phalanger,Phalanger lullulae,,,,1500-2050 g,,638-717 mm,,,,"['Forest', 'Anthropogenic biome']",['Tropical'],,,,,,,,,,,,,Stable,Endangered (EN)
1541,Long-tongued fruit bat,Animalia,Chordata,Vertebrata,Mammalia,Chiroptera,,Pteropodidae,Macroglossus,Macroglossus sobrinus,,,,18.5-23 g,,78-89 mm,,,,"['Forest', 'Rainforest', 'Swamp', 'Wetlands ', 'Anthropogenic biome']","['Temperate', 'Tropical']",Not a migrant,,,,,,,,,,,,Stable,Least concern (LC)
1542,Andean caenolestid,Animalia,Chordata,Vertebrata,Mammalia,Paucituberculata,,Caenolestidae,Caenolestes,Caenolestes condorensis,,,,48 g,,260 (including the tail) mm,,,,"['Forest', 'Mountains', 'Shrubland']",['Tropical'],,,,,,,,,,,,,Unknown,Vulnerable (VU)
1543,Lesser long-tailed shrew tenrec,Animalia,Chordata,Vertebrata,Mammalia,Afrosoricida,,Tenrecidae,Microgale,Microgale longicaudata,,,,5-12 g,,75-158 mm,,,,"['Forest', 'Mountains', 'Rainforest']",[],,,,"Monogamy,",,,2,,,,,,Decreasing,Least concern (LC)
1544,Blasius's horseshoe bat,Animalia,Chordata,Vertebrata,Mammalia,Chiroptera,,Rhinolophidae,Rhinolophus,Rhinolophus blasii,,,,10 g,,44-56 mm,,,Eswatini,"['Caves', 'Forest', 'Grassland', 'Shrubland', 'Savanna']",['Temperate'],,,,,,7 weeks,1,,,,,,Decreasing,Least concern (LC)
1545,Epixerus,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Sciuridae,Epixerus,Epixerus ebii,,,,540-650 g,,250-310 mm,,,,"['Forest', 'Rainforest']",['Tropical'],,,,"Polygynandry,",,,2,,,,,,Unknown,Least concern (LC)
1546,Jungle palm squirrel,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Sciuridae,Funambulus,Funambulus tristriatus,,,,45-215 g,,230-356 mm,,,,"['Agricultural', 'Anthropogenic biome', 'Forest', 'Rainforest']",['Tropical'],Not a migrant,,,,,,,,,,,,Decreasing,Least concern (LC)
1547,Swinhoe's striped squirrel,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Sciuridae,Tamiops,Tamiops swinhoei,,,,60 g,,10 cm,,,,"['Forest', 'Rainforest', 'Anthropogenic biome', 'Shrubland']",['Tropical'],,,,"Polygyny,",,,3.25,,,,,,Stable,Least concern (LC)
1548,California pocket mouse,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Heteromyidae,Chaetodipus,Chaetodipus californicus,,,,23 g,,190-224 mm,,,,"['Chaparral', 'Forest', 'Grassland', 'Shrubland']",['Temperate'],,,,,,3-4 weeks,2 to 7,,,,,,Stable,Least concern (LC)
1549,Malabar spiny dormouse,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Platacanthomyidae,Platacanthomys,Platacanthomys lasiurus,,,,75 g,,130-212 mm,,,,"['Forest', 'Mountains', 'Rainforest']",['Tropical'],,,,,,,,,,,,,Decreasing,Vulnerable (VU)
1550,Mondolfi's four-eyed opossum,Animalia,Chordata,Vertebrata,Mammalia,Didelphimorphia,,Didelphidae,Philander,Philander mondolfii,,,,260 g,,,,,,"['Forest', 'Rainforest', 'Riparian']",['Tropical'],,,,,,,,,,,,,Unknown,Least concern (LC)
1551,Underwood's long-tongued bat,Animalia,Chordata,Vertebrata,Mammalia,Chiroptera,,Phyllostomidae,Hylonycteris,Hylonycteris underwoodi,,,,6-9 g,,65-70 mm,,,,"['Forest', 'Caves']",['Tropical'],,,,,,,,,,,,,Stable,Least concern (LC)
1552,Weasel sportive lemur,Animalia,Chordata,Vertebrata,Mammalia,Primates,Strepsirrhini,Lepilemuridae,Lepilemur,Lepilemur mustelinus,,,,500-900 g,,24-30 cm,,,,['Forest'],['Tropical'],,,,"Polygyny,",,135 days,1,1 years,,,,,Decreasing,Vulnerable (VU)
1553,Mexican volcano mouse,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Cricetidae,Neotomodon,Neotomodon alstoni,,,,43-61 g,,176-233 mm,,,,['Forest'],[],,,,Monogamy,,27 days,3.4,30 days,,,,,Stable,Least concern (LC)
1554,Mindanao treeshrew,Animalia,Chordata,Vertebrata,Mammalia,Scandentia,,Tupaiidae,Tupaia,Tupaia everetti,,,,350 g,,170-220 mm,,,,['Forest'],['Tropical'],,,,,,54 to 56 days,1 to 2,,,,,,Stable,Least concern (LC)
1555,Coruro,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Octodontidae,Spalacopus,Spalacopus cyanus,,,,0.080-0.120 kg,,,,,,"['Chaparral', 'Mountains', 'Grassland', 'Forest', 'Savanna', 'Coastal']",[],,,,,,77 days,2.000 to 5.000,,,,,,Unknown,Least concern (LC)
1556,Robust cottontail,Animalia,Chordata,Vertebrata,Mammalia,Lagomorpha,,Leporidae,Sylvilagus,Sylvilagus robustus,,,,1.3-1.8 kg,,416 mm,,,,"['Forest', 'Mountains', 'Shrubland']",['Temperate'],,,,"Polygynandry,",,25 to 35 days,3.60 to 5.60,,,,,,Decreasing,Vulnerable (VU)
1557,Narrow-nosed planigale,Animalia,Chordata,Vertebrata,Mammalia,Dasyuromorphia,,Dasyuridae,Planigale,Planigale tenuirostris,,,,4-9 g,,,,,,"['Grassland', 'Shrubland']",['Temperate'],,,,,,19 days,6,,,,,,Stable,Least concern (LC)
1558,Ankarana Sportive Lemur,Animalia,Chordata,Vertebrata,Mammalia,Primates,Strepsirrhini,Lepilemuridae,Lepilemur,Lepilemur ankaranensis,Unknown,,,750 g,,53 cm,,,,['Forest'],['Tropical'],Not a migrant,,,,,,,,,,,,Decreasing,Endangered (EN)
